Nombre del repuesto,descripción ,marca,tamaño,categoria,cantidad,precio estimado,codigo,ubicación 
guardabarro ,delan ns 200 pulsar N,motoplastic ,,,1,45000,,
guardabarro  lateral,cubre cola cb 110 verde limon,motoplastic ,,,1,80000,,
guardabarro,cola cbf 150 Negro,motoplastic ,,,1,90000,,
guardabarro ,racer cafe,motoplastic ,,,1,30000,,
guardabarro ,cola Ax 100,motoplastic ,,,1,48000,,
guardabarro ,delan ecoluxes,motoplastic ,,,1,30000,,
tapa lateral ,par ecoluxes g n b,motoplastic ,,,3,45000,,
tapa lateral,par eco deluxe ,motoplastic ,,,1,45000,,
tapa lateral ,par ax 100,motoplastic ,,,1,45000,,
tapa lateral ,par DTK 125 trans R,motoplastic ,,,2,45000,,
tapa lateral ,par discover 100 N,motoplastic ,,,1,45000,,
tapa lateral par,pulsar UG con regilla n v,motoplastic ,,,2,40000,,
alerones o corta,viento tan XTZ 125-150,motoplastic ,,,1,50000,,
protector ,existo bwis  N,motoplastic ,,,1,60000,,
grasa ,frasco  grande,mundifer ,,,1,12000,,
grasa,frasco pequeño ,mundifer,,,4,8000,,
silicona rino,gris multiusos ,mundifer ,,,6,13000,,
fuelles ,telescopio dt 125-175,caucho motos,,,6,18000,,
fuelles ,telescopio ax100/115,caucho motos,,,4,14000,,
pulpo,1/40 cm v/r/m,ferry y house,,,4,12000,,
protector manigueta,lujo v-n-n- m a,Esparta rub,,,108,5000,,
cinta  negra ,rollo grande,mundifer ,,,3,4000,,
tapa valvula,reflectivo luces,motorlights ,,,20,8000,,
tapa valvula,colores N.V R A TRNS,motorlights ,,,18,5000,,
tapa valvula,cuete A,motorlights ,,,1,2500,,
pito,lujo color naranjado,motorlights ,,,4,30000,,
puf universal,22 cm R/A,motoplastic ,,,2,22000,,
puf universal ,17 cm N,motoplastic ,,,2,20000,,
slider lujo, universal A/V/N,motorlights ,,,2,34000,,
tapa frontal ,univ con calcom A N,motoplastic ,,,2,39000,,
tabla  frontal,univ sin calcom N,motoplastic ,,,1,35000,,
tapa frontal ,univ Fox V/N,motoplastic ,,,1,25000,,
tabla piso,bwis  cromado,,,,1,100000,,
caucho manilar ,lujo V.A.R.A N,mocicle parts,,,9,25000,,
caucho de lujo ,dorado universal ,motoplastic ,,,1,25000,,
caucho manilar,caucho lujo,motoplastic  ,dorado,,2,22000,,
protector tacómetro ,fz 16 A/ trans,motoplastic ,,,2,25000,,
juego traga ,luces amarilla ,motoplastic ,,,2,30000,,
lentes gafas,careta N,motoplastic ,,,2,7000,,
paquetes ,pitillo universal v/A,motoplastic ,,,2,18000,,
cachitos lujo,v/A/N/N/M,motoplastic ,,,5,25000,,
orejitas casco,lujo M/V,motoplastic ,,,3,28000,,
placas modulo,luces universal R/A/B,motoplastic ,,,19,4000,,
tapa bomba fren,universal A.V.B.R.NG,motoplastic ,,,12,8000,,
tapa bomba,universal aluminio ,motoplastic ,,,1,10000,,
protector barra,universal N.V.A.N,motoplastic ,,,8,12000,,
cargador moto,cel universal ,motorlights ,,,2,30000,,
llavero,colores 40 cm,,,,5,6000,,
caucho posa pies ,par boxer A N V,motoplastic ,,,4,12000,,
tapa piñon motor,boxer ct tipo original ,motoplastic ,,,2,24000,,
protector exosto,bwis N,motoplastic ,,,1,60000,,
caucho pedal cambio,Protaper lujo N,Esparta run ,,,4,12000,,
correa batería ,universal 16 cm,motoplastic ,,,8,5000,,
correa batería ,universal 12 cm,motoplastic ,,,9,4000,,
bace manigueta,2 piezas dere ,motoplastic ,,,2,12000,,
caucho crack ,universal R,motoplastic ,,,2,6000,,
par direccional,RX115 AMARILLO ,mototec ,,,5,28000,,
par direccional ,delan bwis humo,mototec ,,,6,168000,,
par direccional ,bwis delan amarillo ,mototec ,,,3,84000,,
par direccional ,bwis trac humo,motetec,,,6,168000,,
par direccional ,trac bwis amarillo ,mototec ,,,3,84000,,
par direccional ,mini amarillo univ,motetec ,,,2,10000,,
par direccional ,mimi transp univ,mototec ,,,1,10000,,
par direccional ,GS GN 125blanco,mototec ,,,3,56000,,
par direccional ,storm125 humo cb125,mototec,,,3,84000,,
par direccional ,pulsar NS 200,mototec ,,,5,140000,,
par direccional ,boxer amarillo ,motetec ,,,2,56000,,
par direccional ,Wave amarillo ,mototec ,,,1,28000,,
direccional ,pulsar NS 150.160 trans,motetec ,,,1,14000,,
bujía pata corta g,moto 2T FR80 V80 DT,AKITA,,,8,15000,,
bujia pata corta p,eco boxer AKT 110,AKITA,,,5,15000,,
bujía pata larga p,pulsar NS 200,AKITA,,,10,15000,,
bujía pata larga g,AKT 125 NKD,NGK,,,2,16000,,
bujía pata larga p,pulsar 135 180 GN GS,kontrol,,,8,15000,,
dados del automático ,Bwis juego ,morocicle parts,,,1,25000,,
bomba freno delantero ,universal completo AKT,mototec ,,,9,45000,,
bomba freno delan,pulsar 135 180 200,mototec ,,,2,45000,,
bomba freno delan,AKT110 SG110,mototec ,,,1,45000,,
bomba tracero ,universal,MOTOS AU,,,7,42000,,
bomba tracero ,PULSAR NS 200,mototec ,,,1,42000,,
par espejo,GN125,mototec ,,,1,22000,,
par espejo,CB 190,mototec ,,,6,22000,,
par espejo ,agility,mototec ,,,4,22000,,
